# unit_id table_fingerprint slot translate_x translate_y translate_z
# Generated from scene-graph parent links and per-LOD RealIndices.
09ea3d883a2da875 80a5aafb68886987 19 -0.04 +0 +0
09ea3d883a2da875 80a5aafb68886987 20 -0.02 +0 +0
09ea3d883a2da875 80a5aafb68886987 21 +0.04 +0 +0
09ea3d883a2da875 80a5aafb68886987 22 +0.06 +0 +0
09ea3d883a2da875 80a5aafb68886987 28 -0.02 +0 +0
09ea3d883a2da875 80a5aafb68886987 42 +0.02 +0 +0
09ea3d883a2da875 80a5aafb68886987 45 +0.02 +0 +0
09ea3d883a2da875 80a5aafb68886987 85 -0.06 +0 +0
2ce2b973e335f79c 2d1e322be9658329 5 -0.06 +0 +0
2ce2b973e335f79c 2d1e322be9658329 6 -0.04 +0 +0
2ce2b973e335f79c 2d1e322be9658329 7 -0.02 +0 +0
2ce2b973e335f79c 2d1e322be9658329 23 -0.02 +0 +0
2ce2b973e335f79c 2d1e322be9658329 24 -0.04 +0 +0
2ce2b973e335f79c 2d1e322be9658329 27 +0.04 +0 +0
2ce2b973e335f79c 2d1e322be9658329 34 +0.04 +0 +0
2ce2b973e335f79c 2d1e322be9658329 35 +0.06 +0 +0
2ce2b973e335f79c 2d1e322be9658329 41 +0.02 +0 +0
2ce2b973e335f79c 2d1e322be9658329 44 +0.02 +0 +0
2ce2b973e335f79c f54849c915e3f2c9 5 -0.06 +0 +0
2ce2b973e335f79c f54849c915e3f2c9 6 -0.04 +0 +0
2ce2b973e335f79c f54849c915e3f2c9 7 -0.02 +0 +0
2ce2b973e335f79c f54849c915e3f2c9 23 -0.02 +0 +0
2ce2b973e335f79c f54849c915e3f2c9 24 -0.04 +0 +0
2ce2b973e335f79c f54849c915e3f2c9 27 +0.04 +0 +0
2ce2b973e335f79c f54849c915e3f2c9 36 +0.04 +0 +0
2ce2b973e335f79c f54849c915e3f2c9 37 +0.06 +0 +0
2ce2b973e335f79c f54849c915e3f2c9 44 +0.02 +0 +0
2ce2b973e335f79c f54849c915e3f2c9 47 +0.02 +0 +0
a804cb155b32b350 cd47237c66189603 3 -0.04 +0 +0
a804cb155b32b350 cd47237c66189603 4 +0.04 +0 +0
a804cb155b32b350 cd47237c66189603 14 -0.04 +0 +0
a804cb155b32b350 cd47237c66189603 15 -0.02 +0 +0
a804cb155b32b350 cd47237c66189603 16 +0.04 +0 +0
a804cb155b32b350 cd47237c66189603 17 +0.06 +0 +0
a804cb155b32b350 cd47237c66189603 27 -0.02 +0 +0
a804cb155b32b350 cd47237c66189603 41 +0.02 +0 +0
a804cb155b32b350 cd47237c66189603 44 +0.02 +0 +0
a804cb155b32b350 cd47237c66189603 84 -0.06 +0 +0
a804cb155b32b350 e2eddaf2dc32ca1f 3 -0.04 +0 +0
a804cb155b32b350 e2eddaf2dc32ca1f 4 +0.04 +0 +0
a804cb155b32b350 e2eddaf2dc32ca1f 16 -0.04 +0 +0
a804cb155b32b350 e2eddaf2dc32ca1f 17 -0.06 +0 +0
a804cb155b32b350 e2eddaf2dc32ca1f 18 -0.02 +0 +0
a804cb155b32b350 e2eddaf2dc32ca1f 19 +0.04 +0 +0
a804cb155b32b350 e2eddaf2dc32ca1f 20 +0.06 +0 +0
a804cb155b32b350 e2eddaf2dc32ca1f 30 -0.02 +0 +0
a804cb155b32b350 e2eddaf2dc32ca1f 44 +0.02 +0 +0
a804cb155b32b350 e2eddaf2dc32ca1f 47 +0.02 +0 +0
adb5d7b476e79121 c569f8fd93ddd945 5 +0.06 +0 +0
adb5d7b476e79121 c569f8fd93ddd945 6 +0.04 +0 +0
adb5d7b476e79121 c569f8fd93ddd945 7 +0.02 +0 +0
adb5d7b476e79121 c569f8fd93ddd945 8 +0.02 +0 +0
adb5d7b476e79121 c569f8fd93ddd945 24 +0.04 +0 +0
adb5d7b476e79121 c569f8fd93ddd945 27 -0.04 +0 +0
adb5d7b476e79121 c569f8fd93ddd945 36 -0.04 +0 +0
adb5d7b476e79121 c569f8fd93ddd945 37 -0.06 +0 +0
adb5d7b476e79121 c569f8fd93ddd945 38 -0.02 +0 +0
adb5d7b476e79121 c569f8fd93ddd945 47 -0.02 +0 +0
adb5d7b476e79121 ec0bdeb289cc205d 5 +0.06 +0 +0
adb5d7b476e79121 ec0bdeb289cc205d 6 +0.04 +0 +0
adb5d7b476e79121 ec0bdeb289cc205d 7 +0.02 +0 +0
adb5d7b476e79121 ec0bdeb289cc205d 8 +0.02 +0 +0
adb5d7b476e79121 ec0bdeb289cc205d 24 +0.04 +0 +0
adb5d7b476e79121 ec0bdeb289cc205d 27 -0.04 +0 +0
adb5d7b476e79121 ec0bdeb289cc205d 34 -0.04 +0 +0
adb5d7b476e79121 ec0bdeb289cc205d 35 -0.02 +0 +0
adb5d7b476e79121 ec0bdeb289cc205d 43 -0.02 +0 +0
adb5d7b476e79121 ec0bdeb289cc205d 83 -0.06 +0 +0
b6b0730576c21e78 9558d2075fb7acc9 7 -0.04 +0 +0
b6b0730576c21e78 9558d2075fb7acc9 8 +0.04 +0 +0
b6b0730576c21e78 9558d2075fb7acc9 15 -0.04 +0 +0
b6b0730576c21e78 9558d2075fb7acc9 16 -0.02 +0 +0
b6b0730576c21e78 9558d2075fb7acc9 17 +0.04 +0 +0
b6b0730576c21e78 9558d2075fb7acc9 18 +0.06 +0 +0
b6b0730576c21e78 9558d2075fb7acc9 26 -0.02 +0 +0
b6b0730576c21e78 9558d2075fb7acc9 40 +0.02 +0 +0
b6b0730576c21e78 9558d2075fb7acc9 43 +0.02 +0 +0
b6b0730576c21e78 9558d2075fb7acc9 84 -0.06 +0 +0
b6b0730576c21e78 b36d2c0a8a2c47e1 7 -0.04 +0 +0
b6b0730576c21e78 b36d2c0a8a2c47e1 8 +0.04 +0 +0
b6b0730576c21e78 b36d2c0a8a2c47e1 15 -0.04 +0 +0
b6b0730576c21e78 b36d2c0a8a2c47e1 16 -0.02 +0 +0
b6b0730576c21e78 b36d2c0a8a2c47e1 17 +0.04 +0 +0
b6b0730576c21e78 b36d2c0a8a2c47e1 18 +0.06 +0 +0
b6b0730576c21e78 b36d2c0a8a2c47e1 26 -0.02 +0 +0
b6b0730576c21e78 b36d2c0a8a2c47e1 40 +0.02 +0 +0
b6b0730576c21e78 b36d2c0a8a2c47e1 43 +0.02 +0 +0
b6b0730576c21e78 b36d2c0a8a2c47e1 83 -0.06 +0 +0
c1a353ab295b06ed 4549a696af984285 9 -0.04 +0 +0
c1a353ab295b06ed 4549a696af984285 10 +0.04 +0 +0
c1a353ab295b06ed 4549a696af984285 18 -0.04 +0 +0
c1a353ab295b06ed 4549a696af984285 19 -0.02 +0 +0
c1a353ab295b06ed 4549a696af984285 20 +0.04 +0 +0
c1a353ab295b06ed 4549a696af984285 21 +0.06 +0 +0
c1a353ab295b06ed 4549a696af984285 27 -0.02 +0 +0
c1a353ab295b06ed 4549a696af984285 41 +0.02 +0 +0
c1a353ab295b06ed 4549a696af984285 44 +0.02 +0 +0
c1a353ab295b06ed 4549a696af984285 84 -0.06 +0 +0
c1a353ab295b06ed db8cf2f68d85bf89 9 -0.04 +0 +0
c1a353ab295b06ed db8cf2f68d85bf89 10 +0.04 +0 +0
c1a353ab295b06ed db8cf2f68d85bf89 18 -0.04 +0 +0
c1a353ab295b06ed db8cf2f68d85bf89 19 -0.02 +0 +0
c1a353ab295b06ed db8cf2f68d85bf89 20 +0.04 +0 +0
c1a353ab295b06ed db8cf2f68d85bf89 21 +0.06 +0 +0
c1a353ab295b06ed db8cf2f68d85bf89 27 -0.02 +0 +0
c1a353ab295b06ed db8cf2f68d85bf89 41 +0.02 +0 +0
c1a353ab295b06ed db8cf2f68d85bf89 44 +0.02 +0 +0
c1a353ab295b06ed db8cf2f68d85bf89 85 -0.06 +0 +0
d867276805f6fac0 bf88e4621081df0c 0 +0.04 +0 +0
dd66041f2f232ac3 1988feba043becc3 7 -0.04 +0 +0
dd66041f2f232ac3 1988feba043becc3 8 +0.04 +0 +0
dd66041f2f232ac3 1988feba043becc3 15 -0.04 +0 +0
dd66041f2f232ac3 1988feba043becc3 16 -0.02 +0 +0
dd66041f2f232ac3 1988feba043becc3 17 +0.04 +0 +0
dd66041f2f232ac3 1988feba043becc3 18 +0.06 +0 +0
dd66041f2f232ac3 1988feba043becc3 26 -0.02 +0 +0
dd66041f2f232ac3 1988feba043becc3 40 +0.02 +0 +0
dd66041f2f232ac3 1988feba043becc3 43 +0.02 +0 +0
dd66041f2f232ac3 1988feba043becc3 83 -0.06 +0 +0
dd66041f2f232ac3 46cab4680723f787 7 -0.04 +0 +0
dd66041f2f232ac3 46cab4680723f787 8 +0.04 +0 +0
dd66041f2f232ac3 46cab4680723f787 15 -0.04 +0 +0
dd66041f2f232ac3 46cab4680723f787 16 -0.02 +0 +0
dd66041f2f232ac3 46cab4680723f787 17 +0.04 +0 +0
dd66041f2f232ac3 46cab4680723f787 18 +0.06 +0 +0
dd66041f2f232ac3 46cab4680723f787 26 -0.02 +0 +0
dd66041f2f232ac3 46cab4680723f787 40 +0.02 +0 +0
dd66041f2f232ac3 46cab4680723f787 43 +0.02 +0 +0
dd66041f2f232ac3 46cab4680723f787 84 -0.06 +0 +0
dd66041f2f232ac3 96804b9f98d2b6e7 7 -0.04 +0 +0
dd66041f2f232ac3 96804b9f98d2b6e7 8 +0.04 +0 +0
dd66041f2f232ac3 96804b9f98d2b6e7 15 -0.04 +0 +0
dd66041f2f232ac3 96804b9f98d2b6e7 16 -0.02 +0 +0
dd66041f2f232ac3 96804b9f98d2b6e7 17 +0.04 +0 +0
dd66041f2f232ac3 96804b9f98d2b6e7 18 +0.06 +0 +0
dd66041f2f232ac3 96804b9f98d2b6e7 26 -0.02 +0 +0
dd66041f2f232ac3 96804b9f98d2b6e7 40 +0.02 +0 +0
dd66041f2f232ac3 96804b9f98d2b6e7 43 +0.02 +0 +0
dd66041f2f232ac3 96804b9f98d2b6e7 83 -0.06 +0 +0
e4db7d9bf8529fd1 2139f7cc5d2507c1 5 +0.06 +0 +0
e4db7d9bf8529fd1 2139f7cc5d2507c1 6 +0.04 +0 +0
